test_MAPE,test_R2,test_MAE,test_RMSE,test_EVS,train_MAPE,train_R2,train_MAE,train_RMSE,train_EVS
-14.318792776561711,0.7352941589341606,-380.65711215782176,-463.89471826817373,0.8011470163374151,-6.26240418777744,0.9494354695758451,-165.68087350452532,-367.82033841859953,0.950897152163628
-12.448819626286973,0.6743615152571844,-533.2085236996464,-1197.724454312505,0.7033539346983668,-7.487909637071348,0.9270446496382462,-182.20646681803208,-348.8715401489045,0.9283063854469318
-16.79278103582897,0.8973547772997108,-275.47835946847,-368.7415820231449,0.8979741032412858,-6.267749311673719,0.9405618357148242,-180.7819755558662,-384.822914030965,0.9422740127863337
-17.992552297541707,0.8402047962149464,-425.9358368329089,-679.9375976543384,0.8403613505582731,-6.595356702923882,0.915679042738886,-181.42943996852566,-426.3865782971546,0.917052389092087
-13.657611054372879,0.929648020387811,-245.90333320856934,-327.7812603230145,0.9325264704799747,-6.980767298814064,0.9415132937284223,-191.18445474551163,-381.75196224129996,0.9432573109981213
-18.117599049121385,0.8183388923635293,-358.4851219701802,-434.4718012146455,0.8474854107792609,-6.396291724908537,0.9407852301582238,-180.56472591893038,-391.99391992777504,0.9425250977218856
-16.112225506220383,0.8014774715650788,-439.63832549300207,-694.2407288456112,0.820644165104202,-6.139457034988731,0.9217285054970034,-162.45786739807346,-420.55393313049575,0.9231920783314193
-11.126319309242596,0.8949296766105838,-259.39331448692235,-325.4772963856257,0.8956584480807254,-6.902080480098938,0.9438304413384975,-181.61301420456985,-383.4358323727611,0.9452582564696402
-19.07834071942896,0.7543325997121434,-495.95753584791055,-1054.6418236884745,0.7595108470126897,-7.048027840372067,0.9388404781288651,-185.72124793421332,-326.8959702768164,0.9401217151344732
-10.85807750016359,0.9393458771447771,-297.3941803191495,-371.69155571153635,0.9441595850513295,-6.5229006541890415,0.9419497398465432,-173.0854979240417,-364.1056132499343,0.9433638078497951
-18.199099668569772,0.6900893467091356,-635.9541565968439,-1258.247107408587,0.7153345280388452,-6.810168355558824,0.9242548935590396,-174.83627847749784,-347.2296083957472,0.9257737206731906
-16.273553621071184,0.9140276545457608,-289.24965960796584,-335.30254478237237,0.9230008545857136,-6.35461730207972,0.9424793767384224,-176.563221545158,-382.93546307426647,0.9440402194449835
-13.175035158832834,0.9019361747926619,-323.578114949062,-373.52007680086444,0.9193775627140051,-6.506199845526384,0.9437776033120236,-176.86120060453624,-376.674498471282,0.9452124055336223
-11.124109860004495,0.817321054257715,-361.8410362671421,-646.7595320615786,0.831043286726686,-6.443219835574284,0.9265359895350159,-166.67687389328688,-410.0902952887607,0.9282950485329354
-19.638534369706143,0.8654781154526594,-316.34702974564107,-401.63823036168475,0.865736064161167,-6.815269254776549,0.9417224958867175,-188.2121563655774,-385.65789180323645,0.94358621164026
