cluster,n,slope,volatility,amplitude,seasonality_ratio,peak_month,medoid,name
1,15,0.1404733892068109,0.1904250947549504,3.504002690942674,0.5972161905742998,24,Tienda_79,Maduración/Decreciente (alta var)
2,8,0.13946771057504623,0.21756529253011095,3.475346338136902,0.5572511743443653,23,Tienda_36,Maduración/Decreciente (alta var)
3,7,0.14059105926275203,0.16023634630200176,3.3092342225854385,0.567607337359992,24,Tienda_85,Estable (baja var)
4,14,0.1409850361294948,0.1894106623381856,3.216163589608252,0.6342847674173056,23,Tienda_14,Estacional tardío (baja var)
5,15,0.1411095810742903,0.18292330028941417,3.195242979440342,0.6445884417410818,24,Tienda_13,Estacional tardío (baja var)
6,20,0.1409725802671867,0.18972030512845137,3.1321200938046068,0.61568624482044,22,Tienda_43,Estacional tardío (baja var)
7,10,0.14117185848704383,0.17150306507622204,3.344379316066745,0.5581578521310568,24,Tienda_90,Creciente (baja var)
8,11,0.14019447616338837,0.2079041109083526,3.2549890910668413,0.6086938134383106,24,Tienda_59,Maduración/Decreciente (alta var)
