fecha,valor_total_millones,valor_total,dow,is_weekend,is_sunday,is_holiday
2022-10-21,45337.05393084,45337053931.0,4,False,False,False
2022-10-22,12181.654112040002,12181654112.0,5,True,False,False
2022-10-23,249.6,249600000.0,6,True,True,False
2022-10-24,32978.29898512,32978298985.0,0,False,False,False
2022-10-25,36240.67779506,36240677795.0,1,False,False,False
2022-10-26,37498.85853726,37498858537.0,2,False,False,False
2022-10-27,34969.04133467,34969041335.0,3,False,False,False
2022-10-28,45167.28632628,45167286326.0,4,False,False,False
2022-10-29,12247.54789166,12247547892.0,5,True,False,False
2022-10-30,468.522,468522000.0,6,True,True,False
2022-10-31,38381.41553369,38381415534.0,0,False,False,False
